condition_name,rule_type,rule_name,rule_data,confidence
Heart Attack,emergency,Chest Pain Emergency,"{""required_symptoms"": [""chest_pain""], ""additional_symptoms"": [""shortness_of_breath"", ""nausea"", ""dizziness""], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Anaphylaxis,emergency,Severe Allergic Reaction,"{""required_symptoms"": [""shortness_of_breath"", ""rash""], ""additional_symptoms"": [""dizziness"", ""weakness""], ""severity_threshold"": 6, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Stroke,emergency,Neurological Emergency,"{""symptom_combinations"": [[""headache"", ""confusion""], [""weakness"", ""confusion""]], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.85
Pneumothorax,emergency,Collapsed Lung,"{""required_symptoms"": [""chest_pain"", ""shortness_of_breath""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Pulmonary Embolism,emergency,Blood Clot in Lung,"{""required_symptoms"": [""shortness_of_breath""], ""additional_symptoms"": [""chest_pain""], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Appendicitis,emergency,Severe Abdominal Pain,"{""required_symptoms"": [""stomach_pain""], ""additional_symptoms"": [""fever"", ""vomiting""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""seek_immediate_medical_care""}",0.7
Meningitis,emergency,Brain Infection,"{""required_symptoms"": [""severe_headache"", ""fever""], ""additional_symptoms"": [""confusion""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Sepsis,emergency,Life-threatening Infection,"{""required_symptoms"": [""fever"", ""weakness""], ""additional_symptoms"": [""confusion"", ""chills""], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Severe Asthma Attack,emergency,Cannot Breathe,"{""required_symptoms"": [""shortness_of_breath""], ""additional_symptoms"": [""wheezing""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Severe Bleeding,emergency,Uncontrolled Bleeding,"{""required_symptoms"": [""weakness"", ""dizziness""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Head Trauma,emergency,Serious Head Injury,"{""required_symptoms"": [""headache""], ""additional_symptoms"": [""confusion"", ""dizziness""], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Diabetic Ketoacidosis,emergency,Diabetic Emergency,"{""required_symptoms"": [""weakness"", ""nausea""], ""additional_symptoms"": [""vomiting"", ""confusion""], ""severity_threshold"": 7, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Choking,emergency,Airway Blocked,"{""required_symptoms"": [""shortness_of_breath""], ""severity_threshold"": 9, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Shock,emergency,Circulatory Failure,"{""required_symptoms"": [""weakness"", ""dizziness""], ""additional_symptoms"": [""confusion""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Acute Poisoning,emergency,Poisoning Emergency,"{""required_symptoms"": [""nausea"", ""vomiting""], ""additional_symptoms"": [""confusion"", ""weakness""], ""severity_threshold"": 6, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Spinal Injury,emergency,Potential Paralysis,"{""required_symptoms"": [""back_pain""], ""additional_symptoms"": [""numbness"", ""weakness""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.9
Overdose,emergency,Drug Overdose,"{""required_symptoms"": [""confusion""], ""additional_symptoms"": [""weakness"", ""dizziness""], ""severity_threshold"": 6, ""emergency_level"": ""critical"", ""action"": ""call_911_immediately""}",0.8
Pancreatitis,emergency,Pancreas Inflammation,"{""required_symptoms"": [""stomach_pain""], ""additional_symptoms"": [""nausea"", ""vomiting""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""seek_immediate_medical_care""}",0.7
Bowel Obstruction,emergency,Intestinal Blockage,"{""required_symptoms"": [""stomach_pain"", ""vomiting""], ""additional_symptoms"": [""bloating""], ""severity_threshold"": 8, ""emergency_level"": ""critical"", ""action"": ""seek_immediate_medical_care""}",0.8
Pneumonia,diagnostic,Lung Infection,"{""required_symptoms"": [""fever"", ""cough""], ""additional_symptoms"": [""chest_pain"", ""shortness_of_breath""], ""severity_threshold"": 6, ""emergency_level"": ""high"", ""action"": ""see_doctor_today""}",0.7