name,category,description
Cough,respiratory,"Forceful expulsion of air from lungs"
Shortness of Breath,respiratory,"Difficulty breathing or feeling breathless"
Chest Pain,respiratory,"Pain or discomfort in chest area"
Runny Nose,respiratory,"Nasal discharge, congestion"
Stuffy Nose,respiratory,"Nasal congestion, blocked nose"
Sore Throat,respiratory,"Pain or irritation in throat"
Wheezing,respiratory,"High-pitched whistling sound when breathing"
Sneezing,respiratory,"Sudden expulsion of air from nose and mouth"
Nausea,gi,"Feeling of sickness, urge to vomit"
Vomiting,gi,"Forceful expulsion of stomach contents"
Stomach Pain,gi,"Pain in abdominal area"
Diarrhea,gi,"Loose or watery stools"
Constipation,gi,"Difficulty passing stools"
Heartburn,gi,"Burning sensation in chest from acid reflux"
Bloating,gi,"Feeling of fullness and gas in abdomen"
Loss of Appetite,gi,"Reduced desire to eat"
Headache,neurological,"Pain in head or neck region"
Dizziness,neurological,"Feeling unsteady or lightheaded"
Confusion,neurological,"Difficulty thinking clearly or concentrating"
Memory Problems,neurological,"Difficulty remembering things"
Numbness,neurological,"Loss of sensation in body part"
Tingling,neurological,"Pins and needles sensation"
Fever,general,"Elevated body temperature above normal"
Fatigue,general,"Extreme tiredness or exhaustion"
Muscle Aches,general,"Pain or soreness in muscles"
Joint Pain,general,"Pain in joints"
Back Pain,general,"Pain in back region"
Rash,general,"Skin irritation or eruption"
Weight Loss,general,"Unintentional loss of body weight"
Night Sweats,general,"Excessive sweating during sleep"
Chills,general,"Feeling cold with shivering"
Weakness,general,"Lack of physical strength"
Severe Headache,neurological,"Intense pain in head requiring immediate attention"